HIV.1_Prot_Name	Human_GeneId	Keywords	evidence.number
Envelope surface glycoprotein gp120	920	binds(105)/complexes with(  8)/interacts with( 52)	165
Envelope surface glycoprotein gp120	1234	associates with( 1)/binds(21)/complexes with( 7)/interacts with(27)	56
Envelope surface glycoprotein gp120	7852	binds(19)/complexes with( 4)/interacts with(31)	54
Tat	904	associates with( 1)/binds(16)/complexes with(12)/interacts with(22)/recruited by( 1)	52
integrase	11168	binds(18)/complexes with( 6)/fractionates with( 1)/interacts with(24)	49
Vif	60489	binds(16)/complexes with( 1)/interacts with(28)	45
Tat	1025	associates with( 1)/binds(10)/complexes with(12)/interacts with(17)/phosphorylates( 1)/recruited by( 1)	42
Envelope surface glycoprotein gp120	30835	binds(21)/complexes with( 1)/interacts with(14)	36
Vif	865	binds( 7)/complexes with( 9)/interacts( 1)/interacts with(16)	33
capsid	5478	binds(18)/interacts with(11)/isomerized by( 1)	30
Vif	8065	binds( 2)/complexes with( 9)/interacts with(14)	25
Vpu	684	binds( 3)/interacts with(22)	25
Nef	3055	associates with( 2)/binds(14)/complexes with( 5)/interacts with( 3)	24
Vpr	9730	binds(9)/complexes with(3)/interacts with(8)	20
Vif	200316	binds(10)/interacts with( 9)	19
capsid	4600	binds(10)/interacts with( 8)	18
Envelope surface glycoprotein gp160, precursor	920	binds(10)/complexes with( 2)/interacts with( 6)	18
Envelope transmembrane glycoprotein gp41	920	binds( 5)/complexes with( 1)/interacts with(12)	18
Vif	6921	binds(2)/complexes with(8)/interacts with(8)	18
capsid	11052	associates with( 1)/binds(13)/interacts with( 2)	16
Envelope surface glycoprotein gp120	3676	binds(8)/complexes with(2)/interacts with(5)	15
Rev	7514	associates with(1)/binds(5)/complexes with(1)/interacts with(8)	15
Vif	6923	binds(2)/complexes with(8)/interacts with(4)	14
Pr55(Gag)	7251	binds(5)/interacts with(8)	13
Envelope surface glycoprotein gp120	3695	binds(7)/complexes with(2)/interacts with(3)	12
